gene	logFC_121248	t_121248	p_121248	FDR_121248	logFC_41804	t_41804	p_41804	FDR_41804
SYNDIG1	-0.09580606177606149	-1.6814078849421326	0.09558929728510533	0.14622742502411365	-0.5276497845000006	-1.0542557786335487	0.2980209768340477	0.5319480027136325
SYNDIG1L	-0.07187742084942066	-1.7504370654055041	0.08289833435228357	0.12955582061679893	-0.3696097950000002	-0.7900452374261712	0.4341074411714323	0.6586551696869755
SYNE1	-0.9680578339768325	-8.905311602552102	1.4784360521608335e-14	9.21501989760877e-13	-0.5951253286999991	-2.770749074193898	0.008408241466882078	0.0572470975364901
SYNE2	-0.18424382239382148	-1.6069212784911941	0.11100754486950437	0.16585940816995184	-0.3194036223000003	-1.7290532598297348	0.09142393896183892	0.26153931407639164
SYNE3	-0.23282124710424681	-2.044506689953657	0.043349062465025436	0.0746494740185005	0.19285772009999969	0.8406586359331837	0.4054799367035389	0.6345615153318044
SYNE4	0.1909441312741301	1.3988563772776588	0.1647370621627619	0.23209360836959583	-0.1911434777499992	-0.6308359329732303	0.5316952855508709	0.7361700430646103
SYNGAP1	0.008940027027026993	0.1839343277618945	0.854411778885678	0.8891555961393175	-0.3712648285500001	-1.3839681689040233	0.1739555016056141	0.38736457514039574
SYNGR1	0.2987348146718136	1.8433467254355702	0.06803552666086062	0.10954676620678765	-0.06324637874999921	-0.13570228679086127	0.8927295547368774	0.9518452114592341
SYNGR2	0.5371312200772194	6.685302333054487	1.0661245354390177e-9	1.480932759859831e-8	-0.12132527964999945	-0.8887346320414283	0.3793991314190679	0.6115649726386798
SYNGR3	-0.16859472586872593	-2.2713440969276	0.025119552512325415	0.04654392042594674	0.8810807251499998	1.7344819518229333	0.09044624540289212	0.25963013674440644
SYNGR4	0.005730853281852721	0.1269298209931116	0.899233262132191	0.9244338918318313	0.028981097600000064	0.06744174410178035	0.946562216384847	0.9758940287659527
SYNJ1	0.14689433590733605	2.055697051386108	0.0422368265374925	0.0729536039121863	-0.06385559915000022	-0.4858862445645556	0.6296689605050105	0.8041087764392094
SYNJ2	0.7382218687258676	5.945813245090529	3.4742164563919577e-8	3.1647667745349355e-7	0.5073932877499995	2.8478348619065974	0.006885928240566917	0.04979707347641361
