gene	raw_value	sample_id	library_size	value_type
FCN3	51	TCGA-G3-AAV1-01A-11R-A38B-07	53281325	counts
GJC1	301	TCGA-G3-AAV1-01A-11R-A38B-07	53281325	counts
HHIP	1	TCGA-G3-AAV1-01A-11R-A38B-07	53281325	counts
IRAK1	5394	TCGA-G3-AAV1-01A-11R-A38B-07	53281325	counts
ITGA6	9868	TCGA-G3-AAV1-01A-11R-A38B-07	53281325	counts
LINC01093	9	TCGA-G3-AAV1-01A-11R-A38B-07	53281325	counts
NUSAP1	7	TCGA-G3-AAV1-01A-11R-A38B-07	53281325	counts
PLAC8	20	TCGA-G3-AAV1-01A-11R-A38B-07	53281325	counts
PLVAP	5528	TCGA-G3-AAV1-01A-11R-A38B-07	53281325	counts
PRC1	3	TCGA-G3-AAV1-01A-11R-A38B-07	53281325	counts
PTTG1	443	TCGA-G3-AAV1-01A-11R-A38B-07	53281325	counts
